1,nginx mysql zbx_agt zbx_srv zbx_web nfs dns registry reg_web,80 3306 10050 10051 8080 2049 53 5000 5001,TTTTTTTTT
2,ovpn cobbler ftp download sendmail,1194 81 21 80 25,TTTTT
3,awstats smokep adm webvirtmgr zbx_agt scope grafana,8099 8098 8100 8080 10050 4040 3000,TTTTTTT
